# Summary statistics, used for scaling the plots.
SS	Samtools version: 1.17
SS	Command line: ampliconstats -l 20000 primers.bed /home/kdunorat/PycharmProjects/disBAM/src/input/aln.virus.sorted_NC_045512.2.sorted.bam
SS	Number of files:	1
SS	Number of amplicons:	NC_045512.2	91
SS	Reference length:	NC_045512.2	29903
SS	End of summary
# Amplicon locations from BED file.
# LEFT/RIGHT are <start>-<end> format and comma-separated for alt-primers.
#
# AMPLICON	REF	NUMBER	LEFT	RIGHT
FREADS	aln.virus.sorted_NC_045512.2.sorted	487	458	587	878	1071	760	367	1092	723	374	1121	507	181	276	541	660	536	418	392	439	508	423	391	390	442	878	655	806	1003	691	504	606	641	867	900	1381	956	1105	695	816	893	1416	881	560	681	531	571	589	558	682	888	918	985	719	961	905	545	576	598	614	550	492	445	430	432	296	289	223	348	506	516	471	467	508	448	478	310	429	906	874	1280	1133	1055	1316	554	1176	1336	1344	1417	1087	826
FVDEPTH	aln.virus.sorted_NC_045512.2.sorted	0	14	29	43	48	29	7	34	58	17	39	24	8	7	13	24	20	13	14	29	46	20	11	16	13	18	38	13	116	25	13	33	22	28	62	92	25	45	56	24	54	43	55	21	28	5	22	50	15	10	70	46	66	15	37	32	19	17	20	31	24	36	26	33	9	11	26	4	40	14	54	32	26	20	12	48	10	11	68	29	29	88	36	124	43	139	173	75	193	18	28
# Read percentage of distribution between amplicons.
# Use 'grep ^FRPERC | cut -f 2-' to extract this part.
FRPERC	aln.virus.sorted_NC_045512.2.sorted	0.766	0.721	0.924	1.382	1.686	1.196	0.578	1.719	1.138	0.589	1.764	0.798	0.285	0.434	0.851	1.039	0.844	0.658	0.617	0.691	0.800	0.666	0.615	0.614	0.696	1.382	1.031	1.269	1.579	1.088	0.793	0.954	1.009	1.365	1.416	2.173	1.505	1.739	1.094	1.284	1.405	2.229	1.387	0.881	1.072	0.836	0.899	0.927	0.878	1.073	1.398	1.445	1.550	1.132	1.512	1.424	0.858	0.907	0.941	0.966	0.866	0.774	0.700	0.677	0.680	0.466	0.455	0.351	0.548	0.796	0.812	0.741	0.735	0.800	0.705	0.752	0.488	0.675	1.426	1.376	2.015	1.783	1.660	2.071	0.872	1.851	2.103	2.115	2.230	1.711	1.300
# Read depth per amplicon.
# Use 'grep ^FDEPTH | cut -f 2-' to extract this part.
FDEPTH	aln.virus.sorted_NC_045512.2.sorted	152.0	397.5	494.0	778.5	974.1	696.9	300.4	981.7	625.8	337.1	915.6	435.8	167.7	221.0	421.8	571.1	448.9	348.6	318.0	411.6	470.1	377.6	328.7	345.5	358.3	708.1	574.5	649.4	858.1	605.8	442.5	535.6	570.2	766.8	770.2	1250.7	753.4	985.7	626.7	696.9	747.2	1124.7	773.6	505.0	580.2	457.3	483.2	500.4	499.6	536.7	795.8	805.9	915.6	660.6	806.2	728.9	476.7	485.5	541.5	540.4	457.0	457.2	386.0	397.0	388.8	257.6	246.6	190.3	289.4	459.3	442.0	417.0	430.4	433.7	376.3	435.6	258.6	378.6	826.1	775.0	980.4	1073.7	943.9	1201.5	483.9	646.0	963.5	1229.6	1019.8	942.2	748.9
# Percentage coverage per amplicon
# Use 'grep ^FPCOV | cut -f 2-' to extract this part.
FPCOV-1	aln.virus.sorted_NC_045512.2.sorted	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	58.33	77.78	100.00	100.00	100.00	100.00
# Depth per reference base for ALL data.
# Use 'grep ^FDP_ALL | cut -f 2-' to extract this part.
